first_name,sex,occurrences
Pierre,M,357
Wasyl,M,356
Witalis,M,355
Harry,M,353
Yulian,M,353
Ido,M,350
Norman,M,346
Mateo,M,343
Rufin,M,341
Temur,M,341
Stefano,M,341
Stanislaw,M,340
Tomáš,M,339
Riccardo,M,336
Aleksandar,M,336
Arian,M,336
Danila,M,335
Dobromir,M,334
Ludomir,M,333
Jeremy,M,333
Tomer,M,332
Kakhaber,M,331
Mathias,M,330
Zviad,M,329
Zurabi,M,329
Raul,M,329
Zahar,M,328
Viorel,M,328
Muhammed,M,327
Eyal,M,327
Antoine,M,325
Gustavo,M,324
Oswald,M,324
Andre,M,323
Gabriele,M,323
Badri,M,323
Armand,M,322
Teimuraz,M,321
Tykhon,M,321
Savelii,M,320
Rodrigo,M,319
Mahmoud,M,319
Felipe,M,319
Sami,M,318
Nikola,M,318
Tim,M,317
Dmitriy,M,316
Abraham,M,315
Sylwiusz,M,313
Jürgen,M,313
Conrad,M,312
Marin,M,312
Daniele,M,311
Noam,M,311
Zakharii,M,310
Konstantyn,M,310
Alek,M,309
Kakha,M,308
Iuri,M,308
Vasilii,M,308
Jens,M,307
Dario,M,307
Andres,M,307
Ustym,M,306
Dmitrij,M,305
Winicjusz,M,304
Hipolit,M,304
Yoav,M,302
Ömer,M,301
Gilbert,M,301
Evgeny,M,300
Tamaz,M,300
Tal,M,299
Natanael,M,299
Giga,M,299
Siergiej,M,298
João,M,298
Barys,M,297
Svyatoslav,M,296
Gregor,M,292
Ralf,M,291
Olek,M,291
Sandro,M,290
Paulo,M,290
Stsiapan,M,289
Andrej,M,288
Dastin,M,288
Moshe,M,286
Antony,M,286
Osman,M,286
Vital,M,286
Vladimer,M,286
Mohamad,M,285
Islam,M,284
Francis,M,284
Mert,M,281
Onur,M,281
Jarema,M,281
Rinat,M,280
Johann,M,280
Medard,M,279
Akaki,M,279
Itay,M,278
Khvicha,M,278
Yevgeniy,M,277
Mihai,M,277
Witosław,M,277
Georgii,M,277
Gniewosz,M,277
Matvey,M,276
Radek,M,275
Murad,M,274
Apoloniusz,M,273
Alisher,M,273
Kaj,M,272
Burak,M,272
Matias,M,272
Merab,M,270
Ramin,M,269
Magomed,M,269
Danyl,M,268
Givi,M,268
Grigore,M,267
Massimo,M,267
Ramaz,M,267
Darius,M,266
Bernd,M,266
Georgi,M,266
Uwe,M,266
Elvin,M,265
Marcos,M,264
Bazyl,M,264
Luigi,M,264
Salvatore,M,264
Ori,M,263
Luke,M,263
Eugen,M,263
Goran,M,263
Israel,M,262
Eugeniu,M,262
Angel,M,261
Ambroży,M,261
Ron,M,261
Maryan,M,261
Noe,M,261
Gaweł,M,260
Fiodor,M,259
Rene,M,259
Hamza,M,259
Tengiz,M,258
Tsimur,M,258
Nikolaos,M,258
Nicola,M,257
Hassan,M,257
Heorhi,M,257
Julien,M,257
Said,M,256
Evgheni,M,255
Farid,M,255
Christophe,M,254
